city_state,white_2015,white_2000,black_2015,hispanic_2015,female_2015,asian_2015
arlington va,63,60.43,8.3,15.5,50,9.9
artesia nm,45.5,51.75,0.6,49.9,49.6,1.4
asbury park nj,24,18.59,41.5,32.1,49.8,0.3
asheboro nc,59.9,65.61,12.4,25.1,51.5,0.5
asheville nc,77.4,75.98,12.2,6,53.5,2.1
ashland ky,92.8,95.5,2.7,1.6,53.5,0.9
ashland oh,94,95.88,1.9,1.1,52.5,1
ashland or,88,89.98,1.9,4.2,55.1,2.2
ashland wi,83.5,89.59,0.8,2.2,51.2,0.7
ashtabula oh,78,82.35,9.3,7.4,52.5,0
aspen co,85,90.84,2.5,7.7,45.9,3.5
astoria or,84.8,88.48,1.4,8,49.2,1.4
atascadero ca,78.2,82.73,1.5,15.5,48.4,2.2
atchison ks,85.1,87.05,5.9,3.1,54.2,0.4
athens al,71.2,75.1,16.7,8.4,52.4,0.7
athens ga,56.2,61.79,26.5,10.6,52.5,4.4
athens oh,82.9,88.38,3.5,2.9,48.6,7.5
athens tn,83,85.08,7.7,6.5,53.3,0.9
athens tx,51.7,61.84,17.2,29.1,51.9,2
athol ma,90.6,94.77,0.4,7.3,49.4,1
atlanta ga,36.8,31.27,52.4,5,50.7,3.9
atlantic ia,94.1,98.26,0.5,3.9,52.4,0.3
attleboro ma,84.1,89.06,3.4,6.1,51.5,4
auburn ca,82.4,89.51,1.3,8.7,50.2,2.6
auburn in,95.3,96.68,0.1,3.2,51.1,0.6
auburn ny,83.6,87.39,9.3,3.3,48.7,0.4
augusta ga,36.3,NULL,54.5,4.5,51.6,1.7
augusta ks,91.1,94.55,0.4,5.2,55.4,0
augusta me,91.8,95.58,0.8,2.6,52,0.9
aurora il,38.6,52.07,9.6,42.2,50.6,7.4
austin mn,74.7,90.07,4.2,15.8,50.3,3
austin tx,48.7,52.94,7.4,34.5,49.5,6.7
baker city or,90.9,94,0.2,3.8,48.7,0.8
bakersfield ca,35.2,51.07,7.8,47.5,50.6,6.7
baltimore md,28.1,30.96,62.3,4.6,52.9,2.6
bangor me,90.9,94.38,1.8,2,51.1,2.8
banning ca,43.5,52.43,7.3,41.2,52.3,4.5
baraboo wi,90.8,96.16,1.4,5.2,49.8,1.1
barre vt,93.7,96.13,2.6,1.6,54.8,0.3
barstow ca,31.3,43.39,13.8,45,51.8,2.9
bartlesville ok,75.4,80.59,3.3,6.1,52.1,2.2
bastrop la,18.3,34.53,79.9,0.2,54.8,0.2
batavia ny,85.4,89.3,6.3,3.7,49.9,0.9
batesville ar,78.6,90.51,3.8,13.3,49.2,2.6
baton rouge la,36.4,44.71,55.1,3.2,52.2,3.5
battle creek mi,67.5,72.64,17.9,7.1,52,2.6
bay city mi,84.2,87.82,2.7,8.8,50.9,0.6
bay city tx,37.7,46.13,14.9,43.3,49.1,1.1
baytown tx,34.7,50.17,18,43.7,50.7,1.6
beardstown il,58.5,80.65,6.3,34.2,48.7,0
beatrice ne,93.9,96.98,0.5,2.6,52,0.7
beaufort sc,59.1,67.66,27.5,9.2,50.8,0.3
beaumont tx,33.9,42.68,48.1,13.5,52.2,3
beaver dam wi,89.3,93.86,0.3,6.2,48.2,0.6
beavercreek oh,86.2,92.64,2.8,2.8,49.3,5.1
beckley wv,66.8,73.23,25.7,0.9,53.6,2.9
bedford in,94.3,96.32,0.8,2.5,53.8,1.3
bellefontaine oh,89.3,90.34,4.4,2.3,54,0.9
belleville il,68.2,80.51,24.5,2.2,52.2,1.3
bellevue oh,95.1,96.16,0.2,3.1,53.1,0.1
bellevue wa,54.7,71.83,2.2,7.1,49.3,31.2
bellingham wa,79.1,85.88,1,8.1,50.7,5.9
beloit wi,64.2,71.93,10.4,18.5,52.1,1.2
belvidere il,68,77.15,2.3,26.7,52.8,1
bemidji mn,81.1,83.7,1,1.9,52.2,0.8
bend or,86.9,91.6,0.5,8.4,51.3,1.8
benicia ca,60.8,73.9,5.4,15.7,51.5,11.7
bennington vt,92.9,96.5,1,1.3,50.5,1.1
benton ar,83.9,92.02,6.9,4.9,51.9,1.3
benton il,93,98.34,0.5,4.1,51.4,0.8
bentonville ar,73.6,87.92,2.9,10.4,49.3,10.4
berkeley ca,55.9,55.18,7.4,11.4,51.2,19.6
berlin nh,89.8,97.81,4.7,2.8,45.5,0.3
beverly ma,91.9,94.78,1.3,3.5,53.1,1.9
biddeford me,92.2,96.2,0.3,3,52.7,2.8
big rapids mi,84.7,82.39,7,2.7,48.9,1.4
big spring tx,44.6,48.39,6.5,45.1,42,1.2
billings mt,86.2,89.9,0.7,5.8,51.5,0.7
biloxi ms,61,69.69,21.2,7.7,47.7,4.9
binghamton ny,72.8,81.72,11.8,7,51,4.5
birmingham al,22,23.51,72.3,3.5,53.3,1
bismarck nd,90,94.34,1,1.9,51.3,0.8
blackfoot id,74.5,81.97,0.5,20.3,51,1.8
blackwell ok,76.3,85.22,0.2,14.7,52.8,0
bloomington il,73.1,83.34,10.9,5.7,51,7.5
bloomington in,78.7,85.72,4,4.1,50.2,9.4
bloomsburg pa,87.4,93.6,5.6,3.9,51.7,2.4
blue springs mo,83.5,91.61,6.8,4.3,51.3,1.6
bluefield wv,71.7,75.5,26.1,0.5,55.9,0.7
bluffton in,94.2,96.16,0.7,3.4,50.9,0.4
bluffton sc,66.4,60.47,15.9,13.3,50.2,1.9
blytheville ar,38.4,44.61,57.3,3.3,52,0
boca raton fl,77,84.16,5,12.9,51.3,2.5
bogalusa la,42.3,56.73,48.8,6.2,56.3,0.1
boise id,83.6,89.9,1.4,7.9,50,3.5
bonham tx,66.5,72.12,13,17.2,39.9,0.6
boone ia,94.3,97.96,1.4,2.6,52.2,0.6
boone nc,90.2,92.92,2.3,3.1,49.1,1.4
boonville mo,82,79.55,11.9,2.6,44.7,0.1
borger tx,62.2,73.83,3.8,29.8,48.3,0.7
bossier city la,61.2,69.39,26.1,7.5,51.4,1.9
boston ma,45.5,49.49,22.7,18.8,52,9.3
boulder co,82.4,84.21,1,8.6,48.3,5
bowling green ky,72.1,79.13,14.2,6.7,50.8,4.5
bowling green oh,84.6,90.56,6.1,5.7,52.3,1.6
bozeman mt,90.1,93.85,0.7,3,47.1,2.5
bradenton fl,61.4,71.61,18.5,17.8,52.9,0.8
bradford pa,97.4,97.09,0.4,1,54,0
brainerd mn,92.1,95.36,1.6,2.9,52.4,0.5
branson mo,87.1,92.05,2.5,6.6,54.7,1
brattleboro vt,90.8,92.13,1.6,2.9,50,3.1
brazil in,93.2,97.44,0.4,2,50.6,0
bremerton wa,70.7,72.33,5.1,10.7,46.3,4.2
brenham tx,59.1,65.46,21.3,14.4,51.9,3.4
brentwood tn,85.3,93.73,3.4,2.7,50.8,6.4
bridgeport ct,21.3,30.93,33.1,39.3,51.5,3.4
bridgeton nj,14.6,31.22,33.6,48.9,41.9,0.2
bristol ct,80,89.26,2.9,12.4,50.4,1.9
bristol va,88.7,91.92,5.7,1.7,53.4,0.9
brockton ma,41,58.22,38.6,10.3,51.9,2
brookhaven ms,41.5,47.07,56.7,0.2,53.8,1.6
brookings sd,90.2,95.1,1.6,1.9,49.6,4
brooksville fl,71.7,73.22,18.7,6.7,53.8,0.1
brownsville tx,5.1,7.75,0.2,93.6,52.1,0.7
brownwood tx,63.5,71.26,6.6,28.1,51.8,0.6
brunswick ga,25.6,33.09,60.1,10.6,52.6,0.3
brunswick me,92.3,94.49,1.3,1.6,52.8,1.9
bryan oh,93.6,94.16,0.1,3.8,51.6,0.4
bryan tx,41.1,51.7,17.1,37.5,49.1,2.5
bucyrus oh,95.9,96.75,0.8,1.4,53.5,0.8
buffalo ny,44.9,51.75,36.6,10.8,52.3,4.4
bullhead city az,73.9,75.41,0.9,21.4,51,1.7
burien wa,51.2,71.51,6.9,23.6,48.8,10.3
burley id,64.9,70.73,0.3,32.9,51.1,0.5
burlington ia,85.4,90.64,7.6,3.4,52.3,0.6
burlington nc,50.4,61.95,28.9,14.8,53.5,3.2
burlington vt,84,91.47,4.4,2.7,51.2,5.9
butler pa,91.5,94.7,3.5,2.3,50.6,0.3
butte mt,91.7,93.69,0.5,3.9,49.1,0.7
cadillac mi,93,95.93,0.5,2.5,50.5,1.3
cambridge md,44.5,47.36,47.9,4.5,54.5,1
cambridge oh,92,92.28,2.3,2.1,53.8,0.5
camden ar,38.3,48.69,55.9,2.8,56.1,0.3
canandaigua ny,94.9,95.39,0.9,1.4,51.4,1.3
canon city co,87.1,87.03,1.8,8.5,49.1,0.3
canton ga,61.3,68.79,9.8,25.2,52.9,1.3
canton il,86.7,88.02,7.2,4.6,44.2,0.3
canton oh,66.8,73.82,23.3,2.8,54.1,0.5
cape coral fl,74.4,87.53,4.1,18.6,51,1.7
cape girardeau mo,78.9,86.71,14,2.5,52.7,2.3
carbondale il,58.4,64.72,23.4,7,49,6
carlisle pa,80.1,87.9,8.4,4.2,51.5,3.4
carlsbad nm,49.3,58.81,1.8,46.6,49.8,0.4
carmi il,96.6,97.71,0.6,1.3,52.8,0.4
carroll ia,94,98.35,2.6,2.8,52.8,0
carrollton ga,53.7,60.57,29,12.9,53.4,2.4
carson city nv,68.8,78.55,0.9,22.7,48.7,2.7
cartersville ga,67.3,73.83,19.4,11.4,53.2,0.3
carthage mo,64.1,81.71,1.6,30.5,53,0
casa grande az,50.5,50.38,5.4,38.2,51.2,2.4
casper wy,86.3,91.32,1.3,8.2,49.8,0.9
cedar rapids ia,84.9,90.89,5.9,3.6,51.3,2.2
celina oh,93.2,95.87,0.8,1.7,54.4,0.6
centerville ia,94.1,96.4,0.7,2.6,51.3,0.8
centralia il,82.9,85.8,9.7,2.2,52.9,0.9
centralia wa,74.9,85.31,0.4,19.1,50.8,1.1
chambersburg pa,68.9,83.72,8.9,17.1,54.4,1.5
champaign il,63,71.34,15.7,5.8,49.8,12.8
chanute ks,88.6,91.21,1.7,7,51.9,0.2
charles city ia,89.4,95.9,4,3.1,52.4,0.9
charleston sc,70.5,62.27,23.5,2.9,52.6,1.3
charleston wv,81,80.14,9.2,1.5,51.2,2.3
charlotte nc,43.5,55.07,34.4,13.5,52,5.7
charlottesville va,66.4,68.43,19.2,5,51.7,6.6
chattanooga tn,56.6,58.87,33.8,5.4,52.3,2.1
cherokee ia,91.8,96.57,0.9,4.2,52.8,0
cherry hill nj,62.8,81.5,10.2,9.3,53.7,16.7
chesterton in,83.7,93.74,2.8,7.6,51.3,4.6
cheyenne wy,77.1,81.39,3.6,14.6,51,1.4
chicago il,32.2,31.32,30.9,29.1,51.5,5.9
chickasha ok,77.1,79.75,5.3,8.4,53.6,0.4
chico ca,72.9,77.16,1.7,16.9,51,3.8
chillicothe mo,91.8,93.38,3.8,2.1,57.5,0.6
chillicothe oh,84.8,88.75,6.9,1.6,50.3,0.6
chippewa falls wi,94.9,97.32,1.4,1.3,49.2,0.7
cincinnati oh,49.3,52.46,42.7,3,52.5,2
circleville oh,93,94.83,3.7,1.5,51.5,0.1
clanton al,70,76.28,21,6.8,53.6,1.1
claremont nh,97.1,97.32,0.3,1.8,50,0.3
claremore ok,66.3,74.25,2.3,5.9,51.6,0.3
clarksburg wv,92.6,93.08,3.8,1.9,52.1,0.3
clarksdale ms,19.4,29.72,79,0,54.7,0.8
clarksville tn,59.6,65.31,22.5,10.5,50.2,2.3
clearfield pa,96.4,98.15,0.3,2.1,50.5,0.1
cleburne tx,64.8,73.91,3.1,29.6,51.1,0.7
cleveland ms,46.5,49.55,50.8,0.8,53.7,1.4
cleveland oh,34.1,38.8,50.8,10.5,52.2,1.9
cleveland tn,77.1,87.68,9.1,9.6,51.9,1.8
clinton ia,88.3,92.87,4.9,2.9,52.2,0.9
clinton il,93.1,95.87,1.1,3.9,50.9,0.2
clinton ma,75,84.86,1.1,18.8,50.6,1.1
clinton mo,93.5,95.03,2.2,1.8,53.5,0.3
clinton nc,45.9,51.8,40.2,10,55.2,1.1
clinton ok,53,65.62,3.1,33.1,50.4,2.3
clovis nm,47.8,55.64,6.4,41.3,48.8,1.4
clute tx,33.7,42.35,13.6,49.9,48.7,0.2
coeur d'alene id,90.4,94.06,0.3,5.6,49.8,0.9
coffeyville ks,74,74.5,10.1,5.5,53.5,0.9
colby ks,91.2,95.8,2.6,4.6,52.4,0.1
coldwater mi,88.7,82.81,0.9,8.2,54,0.4
collinsville il,83.1,90.15,11.1,3.2,51.2,0.6
colorado springs co,69.4,75.3,5.7,17.2,50.3,3
columbia city in,91.8,97.26,1.1,4.5,52.6,0.4
columbia mo,76.3,80.42,10,3.7,52.2,5.6
columbia sc,48.1,48.15,41.1,5.8,48.5,2.2
columbia tn,69.5,72.75,18.7,8.2,53.7,1
columbus ga,42.4,48.55,44.2,7.3,50.9,2.3
columbus in,81.8,90.02,2.9,4.9,50.9,8.1
columbus ms,35.7,43.26,60.9,1.7,54.3,1.1
columbus ne,77.1,91.6,0.3,20,48.9,0.7
columbus oh,58.1,66.89,27.5,5.7,51.4,4.6
concord nc,63.5,75,19,12.3,51.6,3.6
concord nh,90.3,94.59,2.6,1.7,51.6,3
concordia ks,91,97.5,0.8,3.9,50.5,1.4
connellsville pa,91.1,94.21,2.9,2.1,52.1,0.8
connersville in,94.3,95.65,3.1,1.4,51.4,0.5
conroe tx,51.6,54.49,8,37.7,50.2,1.9
conway ar,74.6,82.97,16.5,4.7,50.8,2.2
conyers ga,21.9,51.79,61.9,13,53.6,1
cookeville tn,85,89.62,4.3,6.5,51.6,1.8
coos bay or,82.6,88.42,1.3,7.6,53.2,2.4
coral gables fl,37.5,47.74,3.2,55.7,50.5,2.3
corbin ky,93.7,97.73,0.1,3.3,54.3,1.3
cordele ga,28,31.56,64.4,4.5,56.1,1.7
corinth ms,67.5,75.54,24,5,50.8,0.2
corning ny,89.3,93.38,3.6,1.7,49,2.2
corpus christi tx,31.5,38.53,4,61.3,50.9,1.9
corry pa,94.1,97.78,0.2,0.9,52.8,0.7
corsicana tx,45.3,51.82,20.5,30.5,52,1.2
cortland ny,91.1,94.65,3.1,2.9,54.4,0.5
corvallis or,78.7,83.32,0.9,8.2,49.2,8.7
coshocton oh,94.2,95.75,1.4,1.9,52,0.8
costa mesa ca,50.7,56.82,1.5,35.7,49,9
council bluffs ia,86,92.51,1.7,9.3,51.2,0.6
covington ga,44.6,50.01,45.9,7.2,51.2,1.2
covington ky,80.1,86.26,12.1,3.9,51.4,0.2
covington va,81.5,83.63,13.9,1.3,48.1,1
craig co,79,86.59,0.7,17.5,49.1,1.1
crawfordsville in,88.1,93.22,1.9,7.3,48.6,0.1
crescent city ca,48.3,73.56,9,33.7,27.3,2.7
creston ia,93.8,97.38,1.5,3,54,0.2
crookston mn,82.5,87.84,1.1,12.7,50.8,1.6
crowley la,59.2,67.16,32.2,5.1,52.4,0.2
crystal lake il,82.6,89.65,1.7,11.2,51.7,3
cullman al,89.8,92.98,0.8,6.2,53.6,0.7
culpeper va,58.8,68.54,18.7,15.6,52.9,2
cumberland md,87.9,92.18,6.2,1.5,51.3,1
cushing ok,76.5,78.4,2.6,6.4,46.9,0.7
dalhart tx,56.6,74.12,1.7,38.1,48.3,0.7
dallas tx,29.4,34.56,24.1,41.7,50.3,3
dalton ga,40.3,49.68,8,47.9,52.4,3.1
danbury ct,54.5,68.06,5.7,29.3,50.8,6
danville il,57.3,68.25,33,6.1,50.4,1.7
danville ky,80.8,82.92,10.2,4,52.9,1
danville va,45.1,53.32,48.4,3.3,54.3,1.2
davenport ia,75.6,81.31,11,8.3,51.3,2.1
davis ca,55.7,65.85,2.1,14.1,51.2,21.7
dayton oh,51.6,52.65,40.1,3.7,51.7,1.1
daytona beach fl,53,60.25,34.9,7.2,50.7,2.2
de kalb il,66.5,75.55,13.7,12.8,51.3,4.5
de queen ar,30.2,52.4,7.2,60.1,49.3,1.4
decatur al,62.2,72.55,21.5,12.4,52.8,0.9
decatur ga,68.6,64.66,21.1,3.1,57.7,4.1
decatur il,70.6,76.95,20.7,2.3,52.9,1.3
decatur in,86.7,91.05,2.2,9.6,51.9,0.7
dedham ma,80.2,93.22,6.6,6.7,51.4,3.6
defiance oh,80.4,82.34,3.3,14.2,51.3,0.2
dekalb il,66.5,75.55,13.7,12.8,51.3,4.5
del rio tx,13.8,16.68,0.7,84.8,49.1,0.3
delaware oh,89.8,92.18,4.9,1.6,51.4,1.3
delphos oh,96.2,98.07,1.5,1.2,51.5,0.1
deming nm,25.8,32.43,1.4,70.5,51.4,0.5
denison ia,48.9,79.52,1.4,45.7,50.6,0.6
denison tx,77.8,81.68,7.3,10,52.5,0.9
denton tx,59.9,69.02,10.3,22.7,52.1,3.9
denver co,53.1,51.93,9.4,30.9,50,3.5
derby ks,86.4,92.36,3,4.8,49.3,1.7
deridder la,51.9,59.76,34.8,7.6,51,1.2
des moines ia,68.2,79.57,10.7,12.4,51,5.3
detroit mi,9.1,10.5,79.8,7.7,52.7,1.3
devils lake nd,80.4,88.98,0.2,1.5,50.3,0.7
dexter mo,96.7,96.71,0.2,1,52.2,0
dickinson nd,89.2,96.49,1.4,4.9,48.9,1.5
dixon il,79.5,83.37,9.9,7.6,43.3,1.1
dodge city ks,34.5,51.53,2.8,59.5,48.2,1.6
dothan al,61.2,66.7,32.9,2.7,52.5,1.1
douglas az,21.8,12.09,7.5,66.3,31.5,1.6
douglasville ga,30.5,61.92,59.5,5.8,54.1,2.4
dover de,43,53.28,39.9,9.7,52,2.9
dover nh,89.2,93.8,1.1,1.9,51.3,4.6
dowagiac mi,58.9,75.97,13.6,13.2,50.5,0.2
doylestown pa,91.3,95.22,1.5,4.7,54.6,1.5
dublin ga,35.5,45.05,61.4,0.6,55.2,1.8
dubois pa,92.5,97.77,1.7,3.5,50,1.3
dubuque ia,89.4,95.4,3,2.4,51.5,1.6
duluth mn,89.2,92.09,2.7,1.9,50.6,1.6
duncan ok,77.6,83.32,3,10,52,0.9
dundalk md,77.1,88.75,10.5,5.1,51.8,3.4
dunkirk ny,67.1,73.95,4.6,26.6,50.9,0
dunn nc,47.5,53.81,40.3,8.7,55.4,0.4
duquoin il,85.4,89.53,8.3,1.7,53.5,0.3
durango co,79.5,81.66,0.7,11.5,50.4,1
durant ok,69.6,77.47,2.4,7.1,51.8,0.3
durham nc,38.3,42.39,39.8,13.9,52.8,5
dyersburg tn,68.6,74.99,23.5,3.5,54.2,0.8
east liverpool oh,90.1,92.36,5.7,0.6,52.8,0
easton md,69.5,70.41,14.3,10.5,54.7,2.6
easton pa,53.9,73.5,14,23.7,50.6,2.9
eau claire wi,89.6,92.88,0.9,2.2,51.5,4.5
eden nc,62.6,74.3,25,7.1,53.3,0.7
edgewood ky,97.5,96.78,0.2,0.1,52.5,0.9
edinburg tx,7.7,9.85,1.4,87.7,51.7,2.8
edmond ok,77.7,85.05,5.3,5.5,51,3.3
edmonds wa,78.3,86.07,2,4.9,51.1,9.2
edwardsville il,82.3,87.11,10.3,2.7,51.6,2.6
effingham il,94.3,97.29,0.8,3.1,52.3,0.9
el cajon ca,56.2,64.5,5.4,28.6,49.5,3.5
el centro ca,11.1,18.07,2.2,83.6,50.8,2.2
el dorado ar,44.3,53.14,50,2.7,52.9,0.6
el dorado ks,89.7,92.79,2,5.1,50.8,0.4
el paso tx,14.5,18.35,3.2,79.9,51.6,1.2
elizabeth city nc,37.6,39.64,53.6,7.1,54.5,0.3
elizabethton tn,90.9,94.71,3.7,3.4,52.8,0.1
elizabethtown ky,75.7,85,11.5,4.6,50.8,3.7
elk city ok,77.5,86.1,1.5,13.8,49,1.1
elkhart in,58.4,66.81,13.3,23.5,51.7,1.6
elkins wv,92.2,96.53,3.3,2,53.1,0.5
elko nv,62.8,73.31,2.3,30.4,47.5,0.7
elkton md,71.9,84.2,15.4,7.5,49.8,3.1
ellensburg wa,79.4,85.14,1.9,10.5,52.3,3.5
ellwood city pa,95.7,97.84,1.2,0.5,50.6,0.3
elmira ny,74.9,80.81,14,5.4,49.5,0.4
elwood in,94.8,97.47,0,3.8,50.7,0.5
elyria oh,73.8,79.97,14.3,5.5,52.4,0.7
emporia ks,64.9,71.12,3,26.4,51.4,2.7
enid ok,75,85.26,3.5,12.4,50.6,1.1
ennis tx,45.9,51.06,11.1,40.4,50.7,0.2
enterprise al,65.8,69.37,21.3,8.5,50.4,1.5
erie pa,70.9,78.68,15.5,6.9,51,2.6
escanaba mi,92.1,95.29,0.7,1.5,53.9,0.1
escondido ca,40,51.89,2.1,48.7,50.4,6.6
estherville ia,83.3,92.58,2,13.9,49.9,0.3
eugene or,79.7,85.98,1.5,9,50.9,4.1
eureka ca,72.7,78.64,1.9,10,48.7,5.8
evansville in,80.7,85.59,12.3,3,52.6,0.6
everett wa,65.5,77.91,3.5,14.6,48.9,8.7
fairbanks ak,56.5,64.21,8.5,11.3,46.1,4.6
fairfield ca,33.2,48.97,13.9,29,50.9,15.9
fairfield ia,76,92.52,2.5,3.7,51.2,10.1
fairmont mn,91.6,95.17,0.3,6.2,51.1,0.8
fairmont wv,88.3,89.49,8.5,0.7,52.8,0.4
fall river ma,80.2,89.49,3.6,9,53.1,2.3
fallon nv,72.4,76.47,4.6,12.4,48.2,4.9
fargo nd,86.9,93.44,3.5,2.9,50.4,3.2
faribault mn,75,84.97,8.1,12.7,45.4,2
farmington nm,49.8,62.84,0.9,23.1,50.5,0.6
fayetteville ar,78.8,84.02,6,7.3,50.2,3.6
fayetteville nc,39.9,46.62,40.2,11.4,51,2.9
fergus falls mn,94.2,96.41,1.1,3.2,53.1,0.4
findlay oh,85.8,91.78,2.1,7.2,52.6,2.6
fitchburg ma,65.8,75.22,3.7,23.9,49.8,4.2
flagstaff az,63.1,69.5,2.2,19.4,50.3,2.5
flint mi,37.1,40.03,54.8,3.7,51.6,0.4
florence al,74.8,77.72,19.1,2.8,54,0.8
florence sc,50.1,52.71,44.2,2.2,55.8,1.9
fond du lac wi,86.3,92.19,1.8,7.4,51.9,1.9
forest city nc,59,65.37,28.3,11.5,55.3,0.1
forrest city ar,26.7,29.58,63.5,5.3,41.2,0.3
fort atkinson wi,83.4,93.83,0.6,13.3,51.3,0.9
fort collins co,81.3,85.45,1.3,11.2,50.1,2.9
fort dodge ia,85.8,91.12,5.6,5,48.3,1.6
fort lauderdale fl,49.3,57.47,31.5,16,47.3,1.3
fort madison ia,86.7,89.86,5.1,5,49,1
fort morgan co,48.3,58.71,4.4,45.5,52.2,0.9
fort myers fl,47.9,49.16,27.8,20.9,49.8,1.9
fort payne al,66.9,80.81,3.6,27.3,50,0.5
fort pierce fl,41.5,41.36,38.9,18.3,53,0.5
fort scott ks,89.6,90.55,4.8,2.8,53.6,1.3
fort smith ar,62.1,74.05,8.8,17.7,51,5.8
fort walton beach fl,74,76.47,10.1,9.8,46.7,3
fort wayne in,68.9,73.09,15.2,8.2,51.8,3.8
fort worth tx,40.7,45.81,18.6,34.3,51.4,3.8
fostoria oh,80.4,83.85,5.7,9.5,51.5,0.2
framingham ma,66.3,75.17,5.9,15.5,52.7,8.1
frankfort in,70.8,85.19,1.4,27,51.1,0.1
frankfort ky,73.6,81.13,16.7,4.6,51.7,1.8
franklin in,92.3,95.98,1.6,3.4,52.1,0.9
franklin la,35.8,47.09,57.4,3.8,51.8,1.4
franklin pa,94.6,90.27,1.3,2.7,57.5,0
frederick md,54.9,74.99,18.6,16.1,52.1,6.2
fredericksburg va,59.8,71.37,22.2,11.1,53.3,2.5
freeport il,73.6,80.93,16.5,5,53.1,1.1
fremont ca,23.8,41.37,3.2,13.9,50.5,53.6
fremont ne,83.3,93.63,0.5,13.5,51.7,0.8
fremont oh,70,77.16,8.9,18.5,52,0.1
fresno ca,28.1,37.29,7.5,48.5,50.8,12.7
fulton mo,81.7,80.65,9.1,2.6,47.3,1.5
gadsden al,55,61.61,35.8,5.9,52.5,1
gainesville fl,56.7,64.07,22.7,10,52.1,7.1
gainesville ga,37.7,47.77,15.7,41.3,50.8,3.7
gainesville tx,62.4,73.68,5,28.3,54.8,1.2
galesburg il,76.1,82.15,13.2,7.8,49.4,1.2
galion oh,96.2,97.62,0.6,1.9,53.8,0.2
gallup nm,23.8,26.9,1.6,35.8,51.6,1.8
galveston tx,45.3,44.15,19.9,29,51,4.1
garden city ks,40.1,49.8,2.7,50.5,48.4,5.3
gardner ma,85.5,90.91,2.1,8,49.7,1.8
gary in,10.7,10.06,81.4,5.8,55,0.5
gastonia nc,57.5,67.32,27.7,10.2,52.1,1.6
geneva il,92,94.47,1,4.6,50.4,1.9
geneva ny,70.2,78.3,10.5,13.8,50.9,2.9
gettysburg pa,75.8,82.88,7.9,10.4,50.4,2.9
gillette wy,85.4,93.4,1.1,10.5,48.2,0.8
gilroy ca,29.9,38.03,1.6,61.1,50.2,5.4
