"city_state","white_2015","white_2000"
"monmouth il",76.1,90.84442638
"monroe ga",52.3,53.85289734
"monroe la",31.8,36.37750202
"monroe mi",85.9,89.45461134
"monroe nc",44.6,49.55772457
"monroe wi",92,96.993452
"montclair nj",83.1,57.13112861
"monterey ca",67,74.96798544
"montgomery al",34,47.06501032
"monticello in",85.5,86.92993185
"montrose co",74.6,80.01458198
"morgan city la",63.6,69.3851846
"morganton nc",67.2,72.6169844
"morgantown wv",85.1,88.55235182
"morris il",85.7,91.40677398
"morristown tn",69.4,79.93991588
"moscow id",87.7,91.00558922
"moses lake wa",63,68.97612519
"moultrie ga",37.3,43.69917286
"moundsville wv",95.5,97.08941788
"mount airy nc",79.7,82.28429986
"mount carmel il",94.3,97.16862942
"mount pleasant ia",81.9,89.55547937
"mount pleasant mi",83.8,87.95960842
"mount pleasant tx",29.2,41.63616792
"mount vernon il",78.4,83.5269531
"mount vernon oh",94.9,96.12521739
"mount vernon wa",57.7,68.42787435
"mountain home ar",94.6,96.91245914
"mt. clemens mi",66.1,NULL
"muncie in",82.1,84.99629245
"munster in",77.1,88.78248338
"murfreesboro tn",71.3,78.41635666
"murray ky",82.9,87.4180602
"muscatine ia",76,85.0068291
"muskegon mi",54.3,57.92544571
"muskogee ok",53.8,59.99216915
"myrtle beach sc",69.9,79.15989279
"nacogdoches tx",48.7,61.92418266
"nampa id",72.1,78.19037153
"napa ca",54.7,68.24550527
"naperville il",67.9,82.8822512
"naples fl",88.8,90.8085431
"napoleon oh",89.1,91.46812621
"nashua nh",75.5,86.49269673
"natchez ms",37.5,43.91247834
"natchitoches la",37.3,43.23537643
"naugatuck ct",77.1,88.87347123
"nebraska city ne",82.4,93.94023243
"neosho mo",81.1,89.82389338
"nevada mo",90.3,95.12025096
"new albany in",83.8,89.41307874
"new bedford ma",65.9,75.20689361
"new bern nc",54,54.84693878
"new braunfels tx",59.4,62.45684222
"new britain ct",44.6,58.82607845
"new castle in",92.6,95.73115861
"new castle pa",80.9,86.39248926
"new haven ct",31.3,35.57423196
"new iberia la",49.5,56.30383472
"new london ct",47.4,56.07105294
"new orleans la",30.8,26.58921254
"new philadelphia oh",88.6,96.06003752
"new smyrna beach fl",88.3,90.48782921
"new ulm mn",96.3,97.49154039
"new york ny",32.5,34.97964232
"newark nj",10.7,14.23892142
"newark oh",91,93.58888481
"newburyport ma",93.7,97.4634941
"newnan ga",52.7,51.39145425
"newport ar",65,65.95826399
"newport news va",45.2,51.97002498
"newport ri",77.6,81.67327668
"newport tn",91,91.24551229
"newton ia",95,96.78413249
"newton ks",77.2,82.28621291
"newton nc",65.9,73.40764331
"niagara falls ny",68.9,75.26667026
"niagra falls ny",68.9,75.26667026
"niles mi",80,80.15404785
"noblesville in",86.7,95.66281917
"norfolk ne",80.6,88.59499915
"norfolk va",44.1,47.0220091
"norman ok",75.2,80.31015529
"norristown pa",33.4,49.35745796
"north adams ma",91.6,93.99904639
"north platte ne",87.6,90.98333194
"north tonawanda ny",94.4,97.08977211
"northampton ma",80.8,87.76658154
"norwalk ct",55,64.28373377
"norwalk oh",87.2,92.86242148
"norwich ct",59.2,80.44411219
"norwich ny",92.7,96.13868117
"norwood ma",81.8,89.57218316
"novato ca",68.5,76.28805375
"oak ridge tn",79.6,85.86920802
"oakland ca",26.9,23.51858898
"ocala fl",60.2,69.61234573
"odessa tx",38,50.77795982
"oelwein ia",92.8,95.75612672
"ogden ut",63.3,70.20433533
"ogdensburg ny",84.9,82.23875768
"oil city pa",95.3,97.34005563
"okeechobee fl",62.6,71.31696429
"oklahoma city ok",55.2,64.65210657
"okmulgee ok",51,58.27829826
"olathe ks",76.6,86.22555453
"olean ny",90.7,92.59790187
"olney il",95.1,97.12663654
"olympia wa",79.3,83.13261514
"omaha ne",67.6,75.35146805
"oneida ny",92.7,95.65850551
"oneonta ny",85.1,89.55762865
"ontario ca",16.6,26.61147924
"ontario or",55.8,62.13928084
"opelika al",52.4,54.45995404
"opelousas la",20.2,29.05511811
"orange park fl",71.5,80.32155049
"orange tx",58,58.51526042
"orangeburg sc",17.2,29.43987466
"orlando fl",39.1,50.79402638
"oroville ca",65,73.51584128
"oshkosh wi",89,91.78746265
"oskaloosa ia",92.3,95.15450722
"oswego ny",90.7,94.06260443
"ottawa il",84.4,91.52783088
"ottawa ks",88.8,90.5712608
"ottumwa ia",81.7,94.06352508
"owatonna mn",85.7,91.8427387
"owensboro ky",85.2,90.06787874
"owosso mi",92,95.10596322
"oxford ms",71.7,74.5151412
"oxnard ca",13.9,20.57373296
"paducah ky",72.9,72.13289239
"palatka fl",40.7,47.46337088
"palestine tx",49.3,58.48391863
"palm beach fl",94.7,93.781047
"palm springs ca",61.4,66.51715841
"palmdale ca",22.4,40.99682866
"palo alto ca",56.7,72.83866344
"pampa tx",65,79.21954492
"panama city fl",64.7,72.26570009
"paragould ar",93.6,97.06136168
"paris il",97.1,97.84069627
"paris tn",74.2,76.49288129
"paris tx",66.2,70.78538883
"park hills mo",97,97.2140949
"parkersburg wv",94.2,95.8034986
"parsons ks",81.6,83.27253778
"pasadena tx",29.7,47.23731948
"pascagoula ms",55.3,65.20610687
"paso robles ca",54,64.20545746
"pauls valley ok",65.2,75.68734015
"pawcatuck ct",85.5,92.7475338
"pawtucket ri",52.2,69.13018449
"pecos tx",21.4,17.26134091
"pekin il",93.9,94.77508344
"pendleton or",80.8,87.11630182
"pensacola fl",61.9,63.68145054
"peoria il",58.4,68.30240136
"perry ga",52.8,58.77942095
"perry ok",86.6,88.87189293
"peru in",86.9,92.13483146
"petersburg va",15.6,18.17131002
"petoskey mi",90.4,93.56907895
"philadelphia pa",35.8,42.46285131
"phoenix az",45,55.77735808
"phoenixville pa",77.8,85.5220449
"picayune ms",61.6,61.42382534
"pierre sd",81.4,88.33237244
"pine bluff ar",20.2,31.96696015
"pinole ca",33.5,48.4216608
"piqua oh",90,93.76506896
"pittsburg ks",83.3,88.29704308
"pittsburgh pa",64.5,66.94763019
"pittsfield ma",85.2,91.61007141
"plainview tx",33.3,42.89040115
"plano tx",56.2,72.75728505
"plattsburgh ny",86.7,92.12372449
"pleasanton ca",56.4,75.80513401
"pleasantville nj",17.6,17.89396171
"plymouth in",70.9,82.83536585
"pocatello id",85.4,90.35479734
"ponca city ok",74.3,82.46460126
"pontiac il",82.2,83.48786244
"pontiac mi",26.6,34.48301853
"poplar bluff mo",83.5,86.38520209
"port angeles wa",85.3,90.07990433
"port arthur tx",22.1,31.83620466
"port clinton oh",84.1,89.90768268
"port huron mi",80.8,84.50120601
"port jervis ny",71.1,85.65462754
"portage wi",86.9,90.69695724
"portales nm",48.5,56.6256401
"porterville ca",26.9,42.02700997
"portland in",90.6,95.23069753
"portland me",83,90.58662392
"portland or",71.6,75.47441889
"portsmouth nh",87.2,92.68187067
"portsmouth oh",90.4,90.9990913
"post falls id",91,94.46860324
"poteau ok",67.9,78.34739892
"pottstown pa",68.6,77.45093554
"pottsville pa",88.3,95.14438228
"poughkeepsie ny",36.9,49.23169629
"pratt ks",87.8,93.80517504
"prescott az",86.9,88.22264129
"princeton in",87.6,90.66666667
"providence ri",35.9,45.76196017
"provo ut",75.2,83.97295704
"pryor ok",66.2,76.70631713
"pueblo co",43.1,51.11779164
"pulaski va",88.8,88.60973293
"punxsutawney pa",95.1,98.11832244
"quincy il",89.4,92.48377347
"quincy ma",63,78.36410111
"racine wi",51.9,63.48054487
"raleigh nc",53.3,60.2644761
"rapid city sd",77.2,83.24693408
"ravenna oh",90,92.37108147
"rawlins wy",69.9,74.57249941
"reading pa",25.9,48.07221052
"red bluff ca",73.3,80.15516848
"red wing mn",89.1,93.82601142
"redding ca",79.1,85.6897298
"redlands ca",53.1,63.31870862
"reidsville nc",53.8,56.06489472
"reno nv",61.4,69.18772163
"rensselaer in",93.1,96.20324896
"rexburg id",90.6,93.77643855
"rhinelander wi",93.1,96.49644473
"richmond in",82.5,85.85011757
"richmond ky",85.4,87.53314673
"richmond mo",89.8,93.67233486
"richmond va",39.9,37.66924516
"ridgecrest ca",65.9,76.49135476
"riverside ca",31.8,45.56014516
"riverton wy",77,83.09344791
"roanoke rapids nc",62,71.56336616
"roanoke va",60.7,68.75493884
"robinson il",81.6,94.9135151
"rochester in",94.2,95.50982226
"rochester mn",77.6,85.84015104
"rochester ny",36.5,44.31618079
"rock hill sc",51,57.56656285
"rock springs wy",76.9,86.80243746
"rockford il",55.5,68.39956034
"rockingham nc",59.6,64.5471464
"rocky mount nc",29.5,40.34136654
"rolla mo",82.8,88.34239629
"rome ga",52.4,59.18810749
"rome ny",85,85.47067239
"roseburg or",88,91.4822401
"rosenberg tx",25.6,35.41571351
"roswell nm",38.7,50.91956815
"royal oak mi",88.8,93.9379308
"rushville in",93,96.18015013
"russellville ar",75.5,88.41314078
"ruston la",50.2,56.41487394
"rutland vt",95.5,97.13162156
"sacramento ca",33.5,40.53235975
"saginaw mi",37.7,42.67382967
"saint augustine fl",81.1,NULL
"salamanca ny",67.1,83.87731671
"salem ma",73.7,82.35454253
"salem oh",95,97.93391818
"salem or",68.3,77.65694838
"salida co",81.5,86.35537791
"salina ks",79.2,85.44626634
"salinas ca",14.8,24.18575401
"salisbury md",50.5,59.43225372
"salisbury nc",49.3,55.36240647
"salt lake city ut",65.4,70.63655822
"san angelo tx",52.3,59.85368446
"san antonio tx",26,31.83141338
"san bernardino ca",17.1,28.92648907
"san clemente ca",73.1,78.41036527
"san diego ca",43.2,49.36177865
"san francisco ca",41.2,43.63262537
"san jose ca",27,36.0396137
"san luis obispo ca",72.4,78.67976638
"san marcos tx",50.6,55.17807273
"san mateo ca",45.2,56.50829351
"sanatoga pa",84.4,84.66511508
"sandpoint id",92.8,94.61594733
"sandusky oh",66.8,72.96724609
"sanford fl",45.2,54.61074404
"sanford nc",48.1,49.57364341
"santa ana ca",9.2,12.42214707
"santa barbara ca",53.8,58.32548064
"santa clarita ca",51,69.26162237
"santa cruz ca",64.2,71.99457806
"santa fe nm",40.1,47.10383744
"santa maria ca",20.5,31.95691203
"santa monica ca",67,71.9304505
"santa rosa ca",57.1,70.85673634
"sapulpa ok",74.2,79.9853908
"saranac lake ny",95.8,96.17139456
"sarasota fl",65.2,69.78279427
"saratoga springs ny",88.8,92.61437409
"sault ste. marie mi",73.8,73.15923105
"savannah ga",36.8,37.94616379
"sayre pa",97.8,96.40461036
"schenectady ny",54.9,74.51998512
"scottsbluff ne",63.4,71.59923975
"scottsboro al",87.5,90.27909497
"scranton pa",76.8,92.27507688
"searcy ar",85.4,89.3543956
"seattle wa",65.9,67.90018709
"sebring fl",64.2,71.18030413
"sedalia mo",81.4,87.10851074
"seguin tx",37.4,36.19553859
"selma al",18,28.64177067
"seminole ok",63.5,72.27134367
"seneca sc",62.5,62.51960272
"sevierville tn",79,94.94769074
"seymour in",82.9,91.75183692
"shamokin pa",96.8,98.36434012
"sharon pa",76.5,85.91376776
"shawano wi",82.9,88.52735599
"shawnee ok",70.3,75.77722013
"sheboygan wi",75.3,85.03110726
"shelby nc",53.4,56.39985624
"shelbyville in",86.4,94.4014261
"shelbyville tn",62.7,68.64948774
"shenandoah ia",87.5,96.03317706
"sheridan wy",90.3,94.44444444
"sherman tx",61.8,72.64409099
"shreveport la",38.9,45.89522596
"sidney ne",89.9,92.10442534
"sidney oh",87.6,91.75201623
"sierra vista az",57.1,65.44010589
"sikeston mo",68.4,75.04708098
"silver city nm",40,44.5045045
"simi valley ca",61.3,72.66032636
"sioux city ia",71.5,80.60061402
"sioux falls sd",83.2,90.90784432
"sitka ak",62.7,67.08545557
"slidell la",73.3,81.22591944
"snyder tx",51.6,62.4316053
"somerset ky",90.7,93.44608879
"somerset nj",39.4,39.35329861
"somerset pa",96.1,97.44158533
"somerville nj",53.5,60.62947758
"south bend in",54.2,63.2736179
"south lake tahoe ca",56.5,63.60286331
"southbridge ma",62.6,71.78909769
"sparks nv",59.1,69.51737859
"spartanburg sc",46.3,46.46232954
"spearfish sd",91.7,94.36439693
"spencer ia",93.8,96.60687461
"spokane wa",82.6,87.87960885
"springdale ar",50.1,74.07747063
"springfield il",72.4,80.31115976
"springfield ma",34.2,48.84930498
"springfield mo",86.1,90.47367727
"springfield oh",73.7,77.51614186
"st. albans vt",90.7,95.17647059
"st. charles il",84.5,90.3785489
"st. cloud mn",82.4,91.11780331
"st. george ut",80.7,89.03006262
"st. johnsbury vt",91.5,95.28406393
"st. joseph mi",89.4,89.64614859
"st. joseph mo",82.9,90.2027301
"st. louis mo",43.1,42.88733992
"st. marys oh",95.4,97.17094222
"st. marys pa",97.4,98.60019308
"st. paul mn",54.2,64.04226348
"st. petersburg fl",63,68.6438493
"stamford ct",50,61.16173996
"starkville ms",59.1,64.04042252
"state college pa",78.9,82.93076523
"statesboro ga",50,55.38373425
"statesville nc",49.5,57.37993139
"staunton va",81.6,82.70657779
"steamboat springs co",88.5,94.73255222
"stephenville tx",78,85.02111119
"sterling co",73,83.30105634
"sterling il",71.6,76.68112096
"steubenville oh",79,78.9534578
"stevens point wi",88.7,91.56042524
"stillwater mn",90.4,96.97550023
"stillwater ok",73.9,81.26199923
"stockton ca",21.6,32.21835247
"strasburg va",90.6,92.7806821
"streator il",84.1,89.87315011
"stroudsburg pa",64.5,82.87004864
"stuart fl",71.1,79.67607463
"sturgis mi",74.7,83.50908285
"stuttgart ar",56.5,63.58132376
"suffolk va",50.2,53.3002497
"sulphur la",89.8,92.41419657
"sulphur springs tx",65.8,75.80922273
"sumter sc",45.5,48.68450925
"sun city az",93,97.67939649
"sunbury pa",89.4,94.38265787
"sunnyside wa",13.8,24.83998562
"superior wi",91.2,93.8212511
"sweetwater tx",52,61.45422689
"syracuse ny",51.2,62.40614775
"tacoma wa",59.9,66.49031805
"taft ca",53.3,79.078125
"tahlequah ok",48,56.97883525
"talladega al",46,55.86739748
"tallahassee fl",51.5,57.79092309
"tampa fl",46.1,51.03757823
"tarboro nc",45.8,54.05817921
"taunton ma",84,89.80991854
"taylor tx",41.6,50.54880295
"taylorville il",98.2,97.330883
"temecula ca",55.7,69.31700049
"tempe az",59.6,69.67186761
"temple tx",54.3,62.69215247
"terre haute in",81.3,85.32727212
"terrell tx",46.5,48.44186388
"texarkana tx",52,58.13351734
"texas city tx",43.2,50.10476626
"the dalles or",76.4,84.49325436
"the villages fl",96.9,97.20388816
"thibodaux la",62.2,63.5021828
"thomasville ga",42,42.26957384
"thousand oaks ca",68.1,77.65651041
"three rivers mi",78.7,83.51528384
"tiffin oh",91.2,94.95450786
"tifton ga",51.1,58.77822045
"tipton in",95.2,97.06722529
"titusville pa",94.3,96.85974618
"toledo oh",60.7,67.80775399
"toms river nj",83.5,90.13055012
"topeka ks",69.2,75.07047893
"torrance ca",41.1,52.36396851
"torrington ct",84.4,91.47207545
"tracy ca",34.7,53.96722233
"traverse city mi",92.7,94.98348472
"trenton mo",93.1,96.02638353
"trenton nj",13.4,24.61506036
"trinidad co",43.2,48.39171624
"troy al",53.4,58.19878005
"troy ny",66.5,78.72889974
"troy oh",88.2,91.07686713
"tucson az",45.8,54.19119415
"tulare ca",33.3,43.81506569
"tulsa ok",56.3,67.11173416
"tupelo ms",55.1,68.69135658
"turlock ca",49.9,60.41390432
"tuscaloosa al",50.2,53.48368547
"twin falls id",79.5,87.61205721
"tyler tx",48.5,55.5720263
"tyrone pa",98.3,98.46237337
"ukiah ca",60.9,72.40110989
"union city tn",68.9,73.90584774
"union sc",50.4,56.10144433
"uniontown pa",78.4,NULL
"upper sandusky oh",95.3,96.02020511
"urbana oh",88.5,90.46757944
"utica ny",59.8,76.48513627
"vacaville ca",54.6,63.222567
"vail co",93,89.73736482
"valdosta ga",40,46.74778154
"vallejo ca",25,30.43251113
"valley city nd",91.7,96.7330794
"valparaiso in",85,92.13577366
"van wert oh",91.5,95.01403181
"vancouver wa",73.1,82.1663416
"ventura ca",58.2,68.08632922
"vernon tx",54.2,65.96054889
"vero beach fl",85.3,88.64727478
"vicksburg ms",27.6,37.38781384
"victoria tx",40.7,47.71545963
"victorville ca",24.1,47.45037405
"vincennes in",89.6,93.92011122
"vineland nj",46.6,54.80975991
"vinita ok",61.5,66.7645241
"vinton ia",98.2,97.66758134
"visalia ca",43.1,54.89979796
"wabash in",95.5,95.83581708
"waco tx",43.8,51.0841848
"wahpeton nd",89.8,94.82879106
"wailuku hi",17.8,16.71275211
"wakefield ma",91.3,96.36348976
"walla walla wa",67.5,75.65182241
"walnut creek ca",71,80.61776782
"waltham ma",66.9,78.37098572
"wapakoneta oh",94.7,97.56174794
"warner robins ga",48.6,60.52372756
"warren oh",64.4,71.36146225
"warren pa",96,98.24544303
"warrensburg mo",81.2,85.47123623
"warsaw in",82.2,87.16069271
"washington court house oh",92.8,NULL
"washington dc",35.6,27.82545157
"washington ia",86.1,93.50078047
"washington in",83.9,93.67311072
"washington nc",46.7,50.48523427
"washington pa",78.8,81.47105056
"waterbury ct",40.6,58.17602148
"waterloo ia",73,80.6129722
"watertown ny",79.8,87.76633589
"watertown sd",92.9,95.78494836
"watertown wi",90.4,NULL
"waterville me",89.8,95.20666453
"watseka il",89.2,95.18518519
"watsonville ca",14.3,19.36970518
"waukegan il",21.6,30.92797579
"waukesha wi",78.1,86.6810644
"wausau wi",78.8,85.36407641
"waxahachie tx",57.7,61.41603659
"waycross ga",38.9,43.80095219
"waynesboro pa",87.9,94.2895777
"waynesboro va",78.1,84.48770492
"waynesville mo",75.9,78.24351297
"weatherford ok",74.7,85.35348413
"weatherford tx",79.7,85.47894737
"webster city ia",87.8,94.7407045
"weirton wv",92.7,94.06202538
"wellington ks",83.4,88.51624841
"wenatchee wa",63,74.7235784
"west bend wi",92.7,96.18854788
"west chester pa",74.2,71.59733498
"west covina ca",13.5,22.95774648
"west frankfort il",94.7,98.01122499
"west hartford ct",74,82.85080753
"west memphis ar",33.3,41.79498301
"west palm beach fl",40.8,46.0044091
"west plains mo",91.7,94.82790355
"west point ms",37.9,42.52778921
"westchester county ny",71,NULL
"westerly ri",91.8,93.85816084
"westfield ma",85.4,92.0667798
"westminster md",81.6,90.33530572
"wheeling wv",89.9,92.26264362
"white plains ny",44.3,54.15339978
"whittier ca",25.3,37.61352772
"wichita falls tx",61.8,68.89065904
"wichita ks",63.5,71.72102102
"wilkes-barre pa",68.7,91.44308142
"williamsport pa",77.9,83.58626978
"willimantic ct",48.5,60.60165582
"williston nd",87,92.88682864
"willmar mn",70.7,81.6849218
"willoughby oh",90,95.9064586
"wilmington de",28.6,32.13695915
"wilmington nc",72.2,69.40979456
"wilmington oh",86.6,90.08472444
"wilson nc",39.7,43.86668168
"winchester ky",86.3,88.28031571
"winchester va",67.9,79.38944244
"winfield ks",78.8,85.77748648
"winnemucca nv",68.6,73.91971006
"winona mn",93.2,93.74561306
"winston-salem nc",46,52.43949703
"winter haven fl",57.6,69.08672179
"wisconsin rapids wi",91.8,93.27366423
"woburn ma",83,89.04396371
"woodbridge nj",42.2,68.42536457
"woodbury nj",60.5,70.72863103
"woodland ca",41.7,53.02842262
"woodland park nj",63.9,NULL
"woodward ok",77.3,89.65662701
"woonsocket ri",71.2,79.82370905
"wooster oh",88.4,91.90278506
"worcester ma",57.9,70.78622399
"worland wy",79.6,84.07619048
"worthington mn",41.5,70.31817779
"xenia oh",79.8,82.80086078
"yakima wa",49.4,59.75085253
"yankton sd",86.8,92.88882318
"york ne",91.9,96.08959287
"york pa",40.6,54.18726445
"youngstown oh",42.3,48.88693829
"ypsilanti mi",60.2,60.49995528
"yreka ca",72.4,83.78600823
"yuma az",35.3,47.45404115
"zanesville oh",84.7,84.96834206
