Company,NewsID,Year,male_sup_num,white_sup_num,total_sup_num,male_num,white_num,total_num,maleSupers,whiteSupers,male,white
Camden News,18,2005,2,2,3,3,5,6,66.7%,66.7%,50.0%,83.3%
Camden News,18,2006,2,2,3,3,5,6,66.7%,66.7%,50.0%,83.3%
Camden News,18,2007,2,2,3,3,5,6,66.7%,66.7%,50.0%,83.3%
Camden News,18,2008,2,3,3,3,5,6,66.7%,100.0%,50.0%,83.3%
Camden News,18,2009,1,1,1,2,3,4,100.0%,100.0%,50.0%,75.0%
Camden News,18,2010,1,1,1,2,3,4,100.0%,100.0%,50.0%,75.0%
Camden News,18,2011,2,2,2,2,5,6,100.0%,100.0%,33.3%,83.3%
Camden News,18,2012,2,2,2,3,4,7,100.0%,100.0%,42.9%,57.1%
Camden News,18,2013,2,2,2,2,4,5,100.0%,100.0%,40.0%,80.0%
Camden News,18,2014,1,1,2,2,2,6,50.0%,50.0%,33.3%,33.3%
Southwest Times Record,19,2001,5,9,9,43,67,67,55.6%,100.0%,64.2%,100.0%
Times Record,19,2002,6,12,12,45,64,66,50.0%,100.0%,68.2%,97.0%
Times Record,19,2003,5,11,11,46,70,71,45.5%,100.0%,64.8%,98.6%
Times Record,19,2004,4,7,7,45,53,59,57.1%,100.0%,76.3%,89.8%
Times Record,19,2005,4,6,6,42,53,56,66.7%,100.0%,75.0%,94.6%
Times Record,19,2006,4,7,7,22,31,33,57.1%,100.0%,66.7%,93.9%
Times Record,19,2009,3,6,6,20,30,31,50.0%,100.0%,64.5%,96.8%
Times Record,19,2010,3,6,6,21,33,33,50.0%,100.0%,63.6%,100.0%
Times Record,19,2011,2,6,6,10,31,31,33.3%,100.0%,32.3%,100.0%
Times Record,19,2012,2,6,6,20,29,30,33.3%,100.0%,66.7%,96.7%
Times Record,19,2013,2,6,6,19,29,29,33.3%,100.0%,65.5%,100.0%
Times Record,19,2014,2,6,6,21,29,30,33.3%,100.0%,70.0%,96.7%
Paragould Daily Press,22,2001,2,2,2,6,9,9,100.0%,100.0%,66.7%,100.0%
Paragould Daily Press,22,2002,2,2,2,7,11,11,100.0%,100.0%,63.6%,100.0%
Paragould Daily Press,22,2003,1,1,1,4,8,8,100.0%,100.0%,50.0%,100.0%
Paragould Daily Press,22,2005,2,2,2,5,8,8,100.0%,100.0%,62.5%,100.0%
Paragould Daily Press,22,2007,1,3,3,3,7,7,33.3%,100.0%,42.9%,100.0%
Paragould Daily Press,22,2008,2,2,2,5,5,6,100.0%,100.0%,83.3%,83.3%
Paragould Daily Press,22,2010,1,2,2,3,6,6,50.0%,100.0%,50.0%,100.0%
Paragould Daily Press,22,2011,1,2,2,3,5,5,50.0%,100.0%,60.0%,100.0%
Paragould Daily Press,22,2012,2,2,2,3,4,4,100.0%,100.0%,75.0%,100.0%
Paragould Daily Press,22,2013,3,4,4,4,5,5,75.0%,100.0%,80.0%,100.0%
Texarkana Gazette,23,2001,9,9,11,20,24,31,81.8%,81.8%,64.5%,77.4%
Texarkana Gazette,23,2002,9,9,11,20,24,29,81.8%,81.8%,69.0%,82.8%
Texarkana Gazette,23,2003,10,9,12,21,27,32,83.3%,75.0%,65.6%,84.4%
Texarkana Gazette,23,2004,10,9,12,20,28,32,83.3%,75.0%,62.5%,87.5%
Texarkana Gazette,23,2005,9,8,11,18,26,30,81.8%,72.7%,60.0%,86.7%
Texarkana Gazette,23,2006,9,8,11,19,28,32,81.8%,72.7%,59.4%,87.5%
Texarkana Gazette,23,2007,5,6,8,16,28,30,62.5%,75.0%,53.3%,93.3%
Texarkana Gazette,23,2008,7,9,11,14,28,31,63.6%,81.8%,45.2%,90.3%
Texarkana Gazette,23,2009,7,9,11,13,29,32,63.6%,81.8%,40.6%,90.6%
Texarkana Gazette,23,2010,6,9,10,12,26,29,60.0%,90.0%,41.4%,89.7%
Texarkana Gazette,23,2011,6,9,10,16,32,35,60.0%,90.0%,45.7%,91.4%
Texarkana Gazette,23,2012,9,12,13,16,30,32,69.2%,92.3%,50.0%,93.8%
Texarkana Gazette,23,2013,5,7,9,16,26,30,55.6%,77.8%,53.3%,86.7%
The Bakersfield Californian,25,2001,11,16,17,50,64,76,64.7%,94.1%,65.8%,84.2%
The Bakersfield Californian,25,2005,10,16,18,48,61,76,55.6%,88.9%,63.2%,80.3%
The Bakersfield Californian,25,2012,6,10,10,31,33,42,60.0%,100.0%,73.8%,78.6%
The Bakersfield Californian,25,2014,2,2,2,28,32,36,100.0%,100.0%,77.8%,88.9%
Chico Enterprise-Record,26,2001,4,6,6,18,29,30,66.7%,100.0%,60.0%,96.7%
Chico Enterprise-Record,26,2002,4,6,6,20,29,29,66.7%,100.0%,69.0%,100.0%
Chico Enterprise-Record,26,2003,3,6,6,18,25,26,50.0%,100.0%,69.2%,96.2%
Chico Enterprise-Record,26,2004,4,7,7,20,28,29,57.1%,100.0%,69.0%,96.6%
Chico Enterprise-Record,26,2005,4,7,7,20,27,30,57.1%,100.0%,66.7%,90.0%
Chico Enterprise-Record,26,2006,4,7,7,18,30,30,57.1%,100.0%,60.0%,100.0%
Chico Enterprise-Record,26,2007,5,6,7,17,26,27,71.4%,85.7%,63.0%,96.3%
Chico Enterprise-Record,26,2008,5,6,7,21,27,29,71.4%,85.7%,72.4%,93.1%
Chico Enterprise-Record,26,2009,4,5,6,20,26,28,66.7%,83.3%,71.4%,92.9%
Chico Enterprise-Record,26,2010,5,6,7,19,27,28,71.4%,85.7%,67.9%,96.4%
Chico Enterprise-Record,26,2012,4,6,6,13,20,22,66.7%,100.0%,59.1%,90.9%
Chico Enterprise-Record,26,2013,4,6,6,12,19,23,66.7%,100.0%,52.2%,82.6%
Chico Enterprise-Record,26,2014,3,3,3,9,12,16,100.0%,100.0%,56.3%,75.0%
Daily Pilot,27,2002,6,6,8,11,15,19,75.0%,75.0%,57.9%,78.9%
Daily Pilot,27,2005,6,6,7,20,24,25,85.7%,85.7%,80.0%,96.0%
Daily Pilot,27,2012,4,5,7,13,18,23,57.1%,71.4%,56.5%,78.3%
Daily Pilot,27,2013,3,4,7,16,15,25,42.9%,57.1%,64.0%,60.0%
Daily Pilot,27,2014,3,5,6,12,16,21,50.0%,83.3%,57.1%,76.2%
North County Times,28,2001,11,21,21,81,113,132,52.4%,100.0%,61.4%,85.6%
North County Times,28,2002,12,22,22,83,112,125,54.5%,100.0%,66.4%,89.6%
The Escondido North County Times,28,2003,12,22,22,67,101,109,54.5%,100.0%,61.5%,92.7%
The Escondido North County Times,28,2004,12,22,22,69,98,111,54.5%,100.0%,62.2%,88.3%
The Escondido North County Times,28,2005,9,20,20,77,110,124,45.0%,100.0%,62.1%,88.7%
The Escondido North County Times,28,2006,13,25,25,85,118,130,52.0%,100.0%,65.4%,90.8%
The Escondido North County Times,28,2007,12,23,23,84,120,132,52.2%,100.0%,63.6%,90.9%
North County Times,28,2008,12,18,18,86,120,128,66.7%,100.0%,67.2%,93.8%
North County Times,28,2009,11,17,17,59,76,82,64.7%,100.0%,72.0%,92.7%
North County Times,28,2010,8,15,15,54,72,77,53.3%,100.0%,70.1%,93.5%
North County Times,28,2011,9,18,18,49,69,73,50.0%,100.0%,67.1%,94.5%
North County Times,28,2012,7,11,11,46,60,65,63.6%,100.0%,70.8%,92.3%
The Fresno Bee,29,2001,18,18,26,81,88,116,69.2%,69.2%,69.8%,75.9%
The Fresno Bee,29,2002,17,23,29,80,89,118,58.6%,79.3%,67.8%,75.4%
The Fresno Bee,29,2003,12,17,21,86,86,124,57.1%,81.0%,69.4%,69.4%
The Fresno Bee,29,2004,16,20,25,81,88,117,64.0%,80.0%,69.2%,75.2%
The Fresno Bee,29,2005,18,23,28,88,93,124,64.3%,82.1%,71.0%,75.0%
The Fresno Bee,29,2006,18,26,30,82,93,125,60.0%,86.7%,65.6%,74.4%
The Fresno Bee,29,2007,15,23,27,80,90,122,55.6%,85.2%,65.6%,73.8%
The Fresno Bee,29,2008,18,23,29,87,94,127,62.1%,79.3%,68.5%,74.0%
The Fresno Bee,29,2010,11,15,18,55,59,78,61.1%,83.3%,70.5%,75.6%
The Fresno Bee,29,2011,10,16,16,48,55,70,62.5%,100.0%,68.6%,78.6%
The Fresno Bee,29,2014,8,12,12,47,54,69,66.7%,100.0%,68.1%,78.3%
The Glendale News-Press,31,2001,6,7,9,14,21,28,66.7%,77.8%,50.0%,75.0%
The Glendale News-Press,31,2002,5,7,8,15,22,26,62.5%,87.5%,57.7%,84.6%
The Glendale News-Press,31,2003,4,5,6,13,18,21,66.7%,83.3%,61.9%,85.7%
The Glendale News-Press,31,2004,4,6,6,21,19,25,66.7%,100.0%,84.0%,76.0%
The Glendale News-Press,31,2012,6,7,8,20,24,30,75.0%,87.5%,66.7%,80.0%
The Glendale News-Press,31,2013,6,6,7,17,18,25,85.7%,85.7%,68.0%,72.0%
The Glendale News-Press,31,2014,5,6,7,16,14,22,71.4%,85.7%,72.7%,63.6%
Press-Telegram,32,2001,11,16,16,51,69,76,68.8%,100.0%,67.1%,90.8%
Press-Telegram,32,2002,9,12,12,50,60,67,75.0%,100.0%,74.6%,89.6%
Press-Telegram,32,2003,12,14,15,56,63,74,80.0%,93.3%,75.7%,85.1%
Press-Telegram,32,2004,11,13,14,55,61,73,78.6%,92.9%,75.3%,83.6%
Press-Telegram,32,2006,9,11,12,48,51,71,75.0%,91.7%,67.6%,71.8%
Press-Telegram,32,2007,9,12,13,55,55,75,69.2%,92.3%,73.3%,73.3%
Press-Telegram,32,2008,7,9,10,46,44,63,70.0%,90.0%,73.0%,69.8%
Press-Telegram,32,2009,5,7,8,27,29,36,62.5%,87.5%,75.0%,80.6%
Press-Telegram,32,2010,6,8,9,25,26,33,66.7%,88.9%,75.8%,78.8%
Press-Telegram,32,2011,4,6,6,24,24,32,66.7%,100.0%,75.0%,75.0%
Los Angeles Times,34,2001,128,187,223,607,791,993,57.4%,83.9%,61.1%,79.7%
Los Angeles Times,34,2002,134,186,222,579,752,932,60.4%,83.8%,62.1%,80.7%
Los Angeles Times,34,2003,111,153,185,539,697,872,60.0%,82.7%,61.8%,79.9%
Los Angeles Times,34,2004,142,193,232,543,700,871,61.2%,83.2%,62.3%,80.4%
Los Angeles Times,34,2005,141,193,235,534,694,857,60.0%,82.1%,62.3%,81.0%
Los Angeles Times,34,2006,174,234,280,527,688,845,62.1%,83.6%,62.4%,81.4%
Los Angeles Times,34,2007,137,203,241,515,681,827,56.8%,84.2%,62.3%,82.3%
Los Angeles Times,34,2008,136,202,245,528,699,863,55.5%,82.4%,61.2%,81.0%
Los Angeles Times,34,2009,109,157,189,371,510,632,57.7%,83.1%,58.7%,80.7%
Los Angeles Times,34,2010,86,112,129,276,342,430,66.7%,86.8%,64.2%,79.5%
Los Angeles Times,34,2011,131,168,209,329,422,531,62.7%,80.4%,62.0%,79.5%
Los Angeles Times,34,2012,89,121,143,317,403,505,62.2%,84.6%,62.8%,79.8%
Los Angeles Times,34,2013,83,122,146,305,387,496,56.8%,83.6%,61.5%,78.0%
Los Angeles Times,34,2014,42,64,75,294,379,482,56.0%,85.3%,61.0%,78.6%
The Modesto Bee,35,2001,11,16,20,58,71,88,55.0%,80.0%,65.9%,80.7%
The Modesto Bee,35,2002,11,15,18,50,63,79,61.1%,83.3%,63.3%,79.7%
The Modesto Bee,35,2003,13,14,17,52,63,78,76.5%,82.4%,66.7%,80.8%
The Modesto Bee,35,2004,11,14,18,53,66,82,61.1%,77.8%,64.6%,80.5%
The Modesto Bee,35,2005,12,15,19,52,66,83,63.2%,78.9%,62.7%,79.5%
The Modesto Bee,35,2006,11,16,20,53,68,85,55.0%,80.0%,62.4%,80.0%
The Modesto Bee,35,2007,11,16,20,55,72,89,55.0%,80.0%,61.8%,80.9%
The Modesto Bee,35,2008,10,14,18,46,60,79,55.6%,77.8%,58.2%,75.9%
The Modesto Bee,35,2010,6,11,12,23,31,45,50.0%,91.7%,51.1%,68.9%
The Modesto Bee,35,2012,5,8,10,21,25,41,50.0%,80.0%,51.2%,61.0%
Monterey County Herald,36,2001,4,5,5,21,37,42,80.0%,100.0%,50.0%,88.1%
Monterey County Herald,36,2002,2,4,4,22,29,36,50.0%,100.0%,61.1%,80.6%
Monterey County Herald,36,2003,4,5,5,21,28,32,80.0%,100.0%,65.6%,87.5%
Monterey County Herald,36,2004,5,7,8,28,29,39,62.5%,87.5%,71.8%,74.4%
Monterey County Herald,36,2005,4,7,8,26,29,39,50.0%,87.5%,66.7%,74.4%
Monterey County Herald,36,2006,4,5,7,26,30,41,57.1%,71.4%,63.4%,73.2%
Monterey County Herald,36,2007,7,7,9,28,32,40,77.8%,77.8%,70.0%,80.0%
Monterey County Herald,36,2008,7,7,9,27,29,39,77.8%,77.8%,69.2%,74.4%
Monterey County Herald,36,2009,4,7,8,21,27,34,50.0%,87.5%,61.8%,79.4%
Monterey County Herald,36,2010,6,7,7,25,25,33,85.7%,100.0%,75.8%,75.8%
Monterey County Herald,36,2012,3,5,5,18,22,25,60.0%,100.0%,72.0%,88.0%
The Oakland Tribune,37,2003,8,10,13,40,52,63,61.5%,76.9%,63.5%,82.5%
The Oakland Tribune,37,2006,2,4,5,13,22,27,40.0%,80.0%,48.1%,81.5%
The Oakland Tribune,37,2007,15,18,20,51,70,82,75.0%,90.0%,62.2%,85.4%
Inland Valley Daily Bulletin,38,2001,12,15,15,70,92,107,80.0%,100.0%,65.4%,86.0%
Inland Valley Daily Bulletin,38,2005,8,11,12,26,41,59,66.7%,91.7%,44.1%,69.5%
Inland Valley Daily Bulletin,38,2006,4,8,9,24,29,39,44.4%,88.9%,61.5%,74.4%
Inland Valley Daily Bulletin,38,2009,4,4,5,19,24,33,80.0%,80.0%,57.6%,72.7%
Inland Valley Daily Bulletin,38,2010,3,4,5,16,21,30,60.0%,80.0%,53.3%,70.0%
Inland Valley Daily Bulletin,38,2011,4,4,6,16,20,30,66.7%,66.7%,53.3%,66.7%
The Press-Enterprise,42,2001,24,32,40,142,181,229,60.0%,80.0%,62.0%,79.0%
The Press-Enterprise,42,2002,28,43,50,130,166,210,56.0%,86.0%,61.9%,79.0%
The Press-Enterprise,42,2003,36,42,51,141,175,231,70.6%,82.4%,61.0%,75.8%
The Press-Enterprise,42,2004,37,47,60,156,186,247,61.7%,78.3%,63.2%,75.3%
The Press-Enterprise,42,2005,33,38,50,138,165,220,66.0%,76.0%,62.7%,75.0%
The Press-Enterprise,42,2006,45,49,63,161,185,253,71.4%,77.8%,63.6%,73.1%
The Press-Enterprise,42,2007,34,37,47,155,174,244,72.3%,78.7%,63.5%,71.3%
The Press-Enterprise,42,2008,24,28,35,128,148,197,68.6%,80.0%,65.0%,75.1%
The Press-Enterprise,42,2013,10,11,15,61,70,91,66.7%,73.3%,67.0%,76.9%
The Tennessean,42,2014,17,28,29,60,81,95,58.6%,96.6%,63.2%,85.3%
The Sacramento Bee,45,2001,30,35,48,138,155,215,62.5%,72.9%,64.2%,72.1%
The Sacramento Bee,45,2002,30,35,48,136,153,214,62.5%,72.9%,63.6%,71.5%
The Sacramento Bee,45,2003,33,38,53,148,169,240,62.3%,71.7%,61.7%,70.4%
The Sacramento Bee,45,2004,36,39,56,158,174,250,64.3%,69.6%,63.2%,69.6%
The Sacramento Bee,45,2005,35,43,59,162,189,267,59.3%,72.9%,60.7%,70.8%
The Sacramento Bee,45,2006,34,40,56,157,186,261,60.7%,71.4%,60.2%,71.3%
The Sacramento Bee,45,2007,33,38,55,159,177,254,60.0%,69.1%,62.6%,69.7%
The Sacramento Bee,45,2008,30,35,50,151,167,239,60.0%,70.0%,63.2%,69.9%
The Sacramento Bee,45,2009,29,37,46,123,136,186,63.0%,80.4%,66.1%,73.1%
The Sacramento Bee,45,2010,27,31,40,116,134,178,67.5%,77.5%,65.2%,75.3%
The Sacramento Bee,45,2011,20,26,31,104,119,158,64.5%,83.9%,65.8%,75.3%
